Timestamp,Pitch,Yaw,Roll,Cheating Detected,Reason
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:33,0.00,0.00,0.00,Yes,Face Not Detected
2025-07-12 10:33:34,0.00,0.00,0.00,Yes,Face Not Detected
